,0
"('comb_train', 'short_jokes_train')",10737
"('comb_train', 'semeval_2021_task_7_train')",7987
"('comb_valid', 'short_jokes_valid')",5010
"('comb_test', 'short_jokes_test')",4931
"('short_jokes_train', 'short_jokes_valid')",1511
"('short_jokes_train', 'short_jokes_test')",1508
"('comb_test', 'semeval_2021_task_7_test')",1000
"('comb_valid', 'semeval_2021_task_7_valid')",998
"('semeval_2021_task_7_train', 'short_jokes_train')",752
"('comb_test', 'short_jokes_train')",375
"('short_jokes_valid', 'short_jokes_test')",351
"('comb_valid', 'short_jokes_train')",270
"('comb_train', 'short_jokes_test')",208
"('comb_train', 'short_jokes_valid')",202
"('semeval_2021_task_7_train', 'short_jokes_test')",131
"('semeval_2021_task_7_train', 'short_jokes_valid')",126
"('semeval_2021_task_7_valid', 'short_jokes_train')",118
"('comb_test', 'short_jokes_valid')",93
"('semeval_2021_task_7_test', 'short_jokes_train')",80
"('comb_valid', 'short_jokes_test')",58
"('comb_train', 'comb_test')",36
"('comb_train', 'comb_valid')",34
"('semeval_2021_task_7_valid', 'short_jokes_valid')",22
"('semeval_2021_task_7_valid', 'short_jokes_test')",22
"('comb_valid', 'comb_test')",18
"('comb_test', 'semeval_2021_task_7_train')",18
"('comb_valid', 'semeval_2021_task_7_train')",16
"('semeval_2021_task_7_test', 'short_jokes_valid')",14
"('semeval_2021_task_7_test', 'short_jokes_test')",12
"('comb_train', 'semeval_2021_task_7_valid')",10
"('comb_test', 'semeval_2021_task_7_valid')",5
"('comb_train', 'semeval_2021_task_7_test')",3
"('semeval_2021_task_7_train', 'semeval_2021_task_7_valid')",2
"('comb_valid', 'semeval_2021_task_7_test')",1
"('funlines_and_human_microedit_paper_2023_test', 'short_jokes_train')",0
"('funlines_and_human_microedit_paper_2023_test', 'short_jokes_valid')",0
"('comb_valid', 'funlines_and_human_microedit_paper_2023_train')",0
"('funlines_and_human_microedit_paper_2023_test', 'short_jokes_test')",0
"('semeval_2021_task_7_train', 'semeval_2021_task_7_test')",0
"('comb_test', 'funlines_and_human_microedit_paper_2023_valid')",0
"('semeval_2021_task_7_valid', 'semeval_2021_task_7_test')",0
"('funlines_and_human_microedit_paper_2023_test', 'semeval_2021_task_7_valid')",0
"('comb_train', 'funlines_and_human_microedit_paper_2023_test')",0
"('comb_train', 'funlines_and_human_microedit_paper_2023_valid')",0
"('comb_train', 'funlines_and_human_microedit_paper_2023_train')",0
"('funlines_and_human_microedit_paper_2023_test', 'semeval_2021_task_7_test')",0
"('funlines_and_human_microedit_paper_2023_valid', 'short_jokes_test')",0
"('funlines_and_human_microedit_paper_2023_test', 'semeval_2021_task_7_train')",0
"('funlines_and_human_microedit_paper_2023_train', 'short_jokes_train')",0
"('comb_test', 'funlines_and_human_microedit_paper_2023_train')",0
"('comb_valid', 'funlines_and_human_microedit_paper_2023_test')",0
"('funlines_and_human_microedit_paper_2023_train', 'funlines_and_human_microedit_paper_2023_valid')",0
"('funlines_and_human_microedit_paper_2023_train', 'funlines_and_human_microedit_paper_2023_test')",0
"('funlines_and_human_microedit_paper_2023_train', 'semeval_2021_task_7_train')",0
"('comb_valid', 'funlines_and_human_microedit_paper_2023_valid')",0
"('funlines_and_human_microedit_paper_2023_train', 'semeval_2021_task_7_test')",0
"('funlines_and_human_microedit_paper_2023_train', 'short_jokes_valid')",0
"('comb_test', 'funlines_and_human_microedit_paper_2023_test')",0
"('funlines_and_human_microedit_paper_2023_train', 'short_jokes_test')",0
"('funlines_and_human_microedit_paper_2023_valid', 'funlines_and_human_microedit_paper_2023_test')",0
"('funlines_and_human_microedit_paper_2023_valid', 'semeval_2021_task_7_train')",0
"('funlines_and_human_microedit_paper_2023_valid', 'semeval_2021_task_7_valid')",0
"('funlines_and_human_microedit_paper_2023_valid', 'semeval_2021_task_7_test')",0
"('funlines_and_human_microedit_paper_2023_valid', 'short_jokes_train')",0
"('funlines_and_human_microedit_paper_2023_valid', 'short_jokes_valid')",0
"('funlines_and_human_microedit_paper_2023_train', 'semeval_2021_task_7_valid')",0
